worker_id,date,temperature,humidity,rain_mm,precipitation_mm,aqi,uv_index,cloud_cover,severity_score,insurance_applicable,claim_amount
W0000,2026-01-01 17:04:20.064563,30.0,58.3,1.2,1.2,58,4.0,86.1,0.0,0,0.0
W0001,2024-07-10 17:04:20.064563,23.6,71.5,0.0,0.0,44,3.8,95.1,0.0,0,0.0
W0002,2024-04-12 17:04:20.064563,31.5,56.8,0.0,0.0,62,9.8,7.0,3.6000000000000014,0,0.0
W0003,2024-12-24 17:04:20.064563,40.2,50.8,0.0,0.0,71,4.2,70.0,10.400000000000006,1,168.51
W0004,2024-11-23 17:04:20.064563,22.7,88.0,0.0,0.0,34,6.9,11.4,0.0,0,0.0
W0005,2024-11-01 17:04:20.064563,22.7,68.3,2.4,2.4,24,4.0,89.8,0.0,0,0.0
W0006,2024-08-07 17:04:20.064563,40.8,58.8,9.6,9.6,63,7.9,14.2,11.599999999999994,1,96.24
W0007,2024-06-30 17:04:20.064563,32.7,53.2,0.0,0.0,52,3.9,99.2,0.0,1,38.83
W0008,2026-02-08 17:04:20.064563,20.3,71.1,0.0,0.0,60,5.6,42.8,0.0,0,0.0
W0009,2025-09-27 17:04:20.064563,30.4,72.5,0.5,0.5,71,7.0,38.2,0.04999999999999982,0,0.0
W0010,2024-06-15 17:04:20.064563,20.4,88.7,0.0,0.0,35,6.9,58.6,0.0,0,0.0
W0011,2025-11-12 17:04:20.064563,20.3,88.0,2.8,2.8,68,4.7,39.4,0.0,0,0.0
W0012,2025-05-24 17:04:20.064563,27.4,55.7,0.0,0.0,68,6.2,23.5,0.0,0,0.0
W0013,2024-04-19 17:04:20.064563,5.9,96.5,0.0,0.0,86,5.9,62.9,0.0,0,0.0
W0014,2024-04-17 17:04:20.064563,7.8,100.0,0.0,0.0,86,3.7,72.8,0.0,0,0.0
W0015,2024-06-21 17:04:20.064563,19.4,81.3,0.0,0.0,58,3.9,94.5,0.0,0,0.0
W0016,2024-10-27 17:04:20.064563,14.9,77.0,14.3,14.3,44,7.4,40.9,3.575,0,0.0
W0017,2024-11-11 17:04:20.064563,28.1,72.4,12.3,12.3,34,5.6,70.6,3.075,0,0.0
W0018,2025-08-17 17:04:20.064563,15.9,79.0,0.0,0.0,62,5.0,83.4,0.0,0,0.0
W0019,2025-11-24 17:04:20.064563,10.9,100.0,0.0,0.0,37,5.2,83.1,0.0,0,0.0
W0020,2024-04-14 17:04:20.064563,39.7,66.0,0.0,0.0,55,7.7,3.4,9.400000000000006,0,0.0
W0021,2025-10-13 17:04:20.064563,22.7,81.9,1.3,1.3,22,5.8,35.6,0.0,0,0.0
W0022,2024-10-07 17:04:20.064563,25.7,85.1,0.0,0.0,58,8.3,1.3,0.6000000000000014,0,0.0
W0023,2026-01-12 17:04:20.064563,10.8,94.5,8.1,8.1,71,4.8,55.9,0.0,0,0.0
W0024,2026-03-06 17:04:20.064563,19.6,88.3,0.0,0.0,77,4.0,86.5,0.0,1,32.05
W0025,2025-09-27 17:04:20.064563,26.1,85.6,0.0,0.0,64,2.7,81.5,0.0,0,0.0
W0026,2025-05-21 17:04:20.064563,13.5,92.2,0.0,0.0,58,3.8,81.1,0.0,0,0.0
W0027,2024-10-29 17:04:20.064563,28.8,64.3,0.0,0.0,52,6.0,35.2,0.0,0,0.0
W0028,2025-06-20 17:04:20.064563,19.0,64.5,0.7,0.7,44,7.0,4.6,0.0,0,0.0
W0029,2025-11-11 17:04:20.064563,22.1,76.0,0.0,0.0,80,7.3,17.2,0.0,0,0.0
W0030,2024-12-27 17:04:20.064563,19.0,89.8,0.0,0.0,34,4.2,67.1,0.0,1,29.1
W0031,2024-03-24 17:04:20.064563,43.5,54.2,0.0,0.0,34,6.0,13.4,17.0,1,75.97
W0032,2024-08-28 17:04:20.064563,24.9,77.7,3.3,3.3,77,5.8,12.5,0.0,0,0.0
W0033,2026-03-02 17:04:20.064563,14.4,83.0,0.0,0.0,70,5.8,35.4,0.0,0,0.0
W0034,2025-05-24 17:04:20.064563,33.2,40.4,0.0,0.0,67,7.9,9.5,0.0,0,0.0
W0035,2025-03-01 17:04:20.064563,12.8,85.9,0.0,0.0,71,3.2,33.0,0.0,0,0.0
W0036,2024-12-27 17:04:20.064563,27.1,66.3,0.9,0.9,105,2.9,97.0,0.0,0,0.0
W0037,2024-08-24 17:04:20.064563,5.4,98.8,2.7,2.7,63,6.0,2.0,0.0,0,0.0
W0038,2024-10-24 17:04:20.064563,11.7,98.6,0.0,0.0,74,1.6,83.1,0.0,0,0.0
W0039,2025-02-25 17:04:20.064563,27.0,89.4,4.6,4.6,100,3.0,99.4,0.0,0,0.0
W0040,2024-06-30 17:04:20.064563,32.4,62.7,0.0,0.0,67,4.5,43.6,0.0,0,0.0
W0041,2024-06-20 17:04:20.064563,26.7,67.8,7.3,7.3,89,2.8,94.3,0.0,0,0.0
W0042,2025-04-11 17:04:20.064563,23.8,71.6,0.0,0.0,27,4.1,26.1,0.0,0,0.0
